item,type,area,climate,locale,difficulty,form,prep,cost,AF,comment,effect,lvl
Madarch,Concussion Relief,---,---,---,very hard,Mushroom,Brew,10sp,0,,Heals all cuts and restores blood vessels in 2 hours. User is relieved of all hits taken. The herb requires user to rest or healing time will be prolonged until user rests properly.,8
Madwort,Poison,---,---,---,medium,Leaves,Paste,30sp,0,,Circulatory poison. RR failure by 01-25 induces madness for 11-20 rounds (irrational behaviour mad screaming suicidal tendencies etc). Victims failing their RR by 26-50 suffer 21-30 rounds of sensory disturbance during which the victim is at -50 (if in combat might attack allies due to confusion). RR failure by 51+ causes permanent brain damage and loss of 11-20 points from RE-stat.,4
Maiana,Antidotes,---,---,---,routine,Leaf,Brew,7sp,0,,Halves the negative effects of lung afflications and respiratory disease (i.e halves the penalties from respiratory poisons and diseases). Take 4 hours for full effect.,5
Margath,Pain Reduction,---,---,---,easy,Fungus,Paste,2sp,20,,Astringent lotion. When placed on a wound it lowers the penalties from that wound by 10. Only one dose can affect each wound. Margath also prevent infections. AF failure causes the herb to only have effect for 1-10 minutes thereafter the pain (and penalties) return.,4
Marku,Physical Alteration/Enhancement,---,---,---,very hard,Nut,Ingest,22sp,0,,Provides user with infravision (100') for 6 hours. This vision is able to see through even magical darkness.,10
Megillos,Physical Alteration/Enhancement,---,---,---,light,Leaf,Ingest,4sp,0,Drawback confers headache and dizziness (-10 penalty for all manuevers other than perception) for the duration.,Aka. Megilloth. If eaten fresh: increases visual perception by 50-500\\% for 10 mins. If roasted  the range of vision lasts for 4-8 hours. Usually this herb confers a +10 perception modification for the duration. ,10
Menelar,Antidotes,---,---,---,hard,Cone,Brew,10sp,0,,Cures infections and functions as an antidote for circulatory poisons. Stops any further damage but do not reverse effects already taken place.,7
Merrig,Physical Alteration/Enhancement,---,---,---,folly,Thorn,Brew,2sp,15,Drawback indicate an addiction to the herb. See addiction rules in Gamemaster Law p. 90.,Daily ingestion for 10 consecutive days increases PR and AP-stat by 5 (cannot exceed 102). Interruption and withdrawal from a habit of Merrig use means loss of stats (-10 CO -5 RE -5 PR and -5 AP).,12
Mir-Melellen,Antidotes,---,---,---,extreme,Nectar,Apply,75sp,0,,Cures and reverses the effects of any poison. Full reversion take 20 rounds.,18
Mirenna,Concussion Relief,---,---,---,light,Berry,Ingest,1sp,0,,Red berry. Heals 10 hits. Instant effect.,1
Miretars Crown,Circulatory Relief,---,---,---,very hard,Flower,Apply,11sp,0,,Instantly stops bleeding of any one wound. Bleeding resumes if flowers are removed before 10 minutes have passed.,11
Mook,Antidotes,---,---,---,light,Berry,Ingest,5sp,0,,Antidote for respiratory poisons. Stops any further damage. Effects that have already taken effect is not reversed.,4
Moonthumb,Concussion Relief,---,---,---,extreme,Fungus,Ingest,3bp,0,,Heals 1-10 hit points.,2
Moourark,Poison,---,---,---,absurd,Venom,Paste,44sp,0,,Conversion poison. Powerful bat venom that slowly dissolves victims bones. Process starts in 20 rnds and causes incredible pain (-10 per 5 RR failure). Victim is immobilized (-100) in pain after 11-20 minutes. On an RR failure of 51+ victim will die within 11-20 days of intense pain and inactivity.,5
Morgurth,Poison,---,---,---,absurd,Blood,Ingest,900sp,0,,Conversion poison. Extremely rare. One of Middle Earths most powerful poisons causes the brain to dissolve. Even if victim pass his RR he will fall into a coma for 1-100 years.,15
Muilfana,Poison,---,---,---,medium,Sap,Liquid,17sp,0,,Reduction poison. Contact with saliva turns to acid. Destroys esophagus. Victim spits a lot of blood. RR failure by 01-25 results in loss of speech and causes internal bleeding at a rate of 1 hit per round for 11-20 rounds. Failure by 26+ causes internal bleeding at a rate of 1 hit point per 5 failure (and loss of speech).,2
Mur,Life Preservation,---,---,---,folly,Resin,Apply,275sp,0,For every hour beyond the fourth there is a -10 penalty to Herb Lore roll.,Lifekeeping for 2-20 days. Must be applied when fresh and will keep its potency only for a few hours.,26
Murnan,Poison,---,---,---,extreme,Sap,Apply,21sp,0,Can be used in several forms including ingestion and injection into blood stream.,Conversion poison. RR failure by 01-25 equals head ache and heavy fever (-25) for 1 day per 10 failure.,3
Naza,Antidotes,---,---,---,absurd,Leaf,Ingest,105sp,0,,Aka Ul-Naza. Universal antidote with immediate effect. The Naza will cleanse the body of poisons and reverse all ill effects. Must be taken within 24 hours of poisoning.,20
Nelisse,Nutrition/Refreshment,---,---,---,hard,Leaf,Brew,8bp,0,Drawback indicates that after drinking the brew user become sluggish and tired performing at -50 for 1 hour.,1 days nutrition. ,6
Nelthandon,General Purpose,---,---,---,routine,Plant,Ingest,1bp,0,,Emetic. Induces vomiting in 20 mins. Vomitting lasts for 1-2 hours and puts victim at -20 while it lasts.,1
Nen Calgalen,Poison,---,---,---,extreme,Root,Paste,16sp,0,,Circulatory poison. Victim gets convulsions. RR failure by 01-15 equals -50 for 10-100 rounds RR failure by 16-30 equals 100 hits taken over 1-10 rounds and RR failure by 31+ lowers CO EQ RE IN and PR by 1-100 points (temp). The results are cumulative.,2
Nimnaur,Poison,---,---,---,hard,Spider,Liquid,18sp,0,,Conversion poison. Destroys one kidney in 1-10 minutes if victim fails RR by 51+. A destroyed kidney leave victim at half pace i.e halved movement -50 to all physical actions.,3
Numenelos,Muscle/Cartilage/Tendon Repair,---,---,---,hard,Moss,Powder,190sp,0,,Complete nerve regeneration in 1-100 minutes (depending on severity of injury a damaged nerve causing a -10 penalty should take a minute while a completely destroyed nervous system would take 100 minutes).,12
Nur-Oiolosse,Life Preservation,---,---,---,folly,Clove,Ingest,500sp,0,,Lifegiving if taken within one day. All mortal wounds must have been healed before herb is ingested othervise target will die as soon as he is revived. Kills then one day later unless Sorul nut is ingested.,30
Oiolosse,Life Preservation,---,---,---,folly,Clove,Ingest,750sp,0,The revived elf will be drowsy (-30) and slow for 10-100 days after revival.,Lifegiving for Elves if given within 7 days of death. Take 20 rounds to revive a dead elf.,30
Olvar,Life Preservation,---,---,---,very hard,Flower,Ingest,56sp,0,,Soulkeeping for 2-10 days. Prevents the soul from leaving a dead body.,13
Ondohithui,Poison,---,---,---,hard,Lichen,Paste,25sp,0,,Reduction poison. Blue-grey paste causes fatal dehydration in 11-20 minutes on a RR failure on 51+. Foe is at -10 per minute that pass from time of injection. Othervise see the regular effects for reduction poisons.,3
Ondokamba,Poison,---,---,---,light,Bat,Liquid,60sp,0,,"Conversion poison. Magical green venom that acts within 2-20 rounds. Severe effects (51+) turns 1-4 appendages (hands and feet) into heavy grey ""stone"". Appendages affected are useless; -25 for each. Victim suffers physcially and will if not cured lose the affected appendages within a week.",2
Orn,Poison,---,---,---,very hard,Sap,Apply,15sp,0,,Reduction poison. Gives 1-10 hits immediately and warts and scars within 24 hours. The scars are permanent warts will dissappear over 3-10 days.,5
Other Eyes,Physical Alteration/Enhancement,---,---,---,hard,Fungus,Brew,48sp,0,,"Gives imbiber a ""sixth sense"" bound to notice hidden and secret items providing +50 to Perception skills when searching for such. ",9
Pangwood,Poison,---,---,---,medium,Tree,Contact,0tp,0,,Complex description see Hands of the Healer p.127,V
Pargen,Life Preservation,---,---,---,folly,Berries,Ingest,15sp,0,,Stops deterioration of organic material (bodies) for 4 days. During this period all magical healing and herbs will have full effect (i.e don't roll for effect chose maximum).,15
Pathur,Life Preservation,---,---,---,medium,Nodule,Brew,6sp,0,,"Soulkeeping for 1 hour. Must be administered before the soul has departed the body i.e within the number of rounds equal to the victims soul departure. The soul stays in the ""dead"" body for 1 hour. If the body is healed of its mortal wound within that hour the person survives.",8
Pawlun,Poison,---,---,---,medium,Sap,Ingest,3sp,0,,Reduction poison. Victim suffers loss of teeth.     50-100\\% of teeth fall out within 1 week.,1
Phacalus,Physical Alteration/Enhancement,---,---,---,light,Root,Ingest,3sp,10,Drawback puts user into coma for 4 days all stats are decreased by 15. Complex description see Hands of the Healer p.128.,A herb used by the Beffraen in their religious ceremonies. PR IN EM RE & EQ are increased by 1 permanently (cannot exceed 102). The Beffraen have due to genetic differences no increased drawback risk on this herb.,10
Plant-like Stone,Circulatory Relief,---,---,---,very hard,Fungus,Apply,25sp,0,,Seals one bleeding wound (unless limb is severed) in 3 rounds and prevents infections.,17
Quilmufur,Antidotes,---,---,---,extreme,Root,Brew,25sp,0,,Antidote for conversion poisons. Reverse the effect of any conversion poison.,13
Red Willow,General Purpose,---,---,---,easy,Leaf,Brew,5bp,0,If drawback occur or more than 5 doses are used at the same time user (1-50) suffer nausea (-20) (51-75) falling blood pressure (25\\% risk each round of passing into unconsciousness) or (76-100) coma.,Herb commonly found in Dagorlad swamp. Cures fever. Also doubles the effect of the common healing herb Thurl. Relieves pain and swelling. Only 1 dose can have effect per day. ,1
Reglen,Concussion Relief,---,cool temperate,mountains,light,Moss,Brew,75gp,7,,Heals 50.,1
Rewk,Concussion Relief,---,cool temperate,decidous/mixed forest,light,Nodule,Brew,9sp,1,,Heals 2-20,1
Rorkandiis,Poison,---,---,---,medium,Saliva,Paste,25sp,0,,Reduction poison. Magical poison made from Great Hawk saliva. Dissolves cartilage in affected area. Take 2-20 minutes for full effect but pain increases gradually. RR Failure by 1-10 puts victim at -10 RR failure by 11-20 equals -20 RR failure by 21-30 equals -30 RR failure by 31-50 puts victim at -50 and RR failure by 51+ renders body part useless.,5
Rud-tekma,Physical Alteration/Enhancement,---,---,---,very hard,Fruit,Ingest,38sp,0,,Magical herb from the east. Increases Base Spell Casting by +20 for 1 hour. All moving maneuvers and OB are at -20. There is 10\\% chance for every spell cast while under effect of Rud-Tekma that the spell unintenionally is cast on nearest target.,11
Rumareth,Circulatory Relief,---,---,---,very hard,Leaves,Brew,3bp,0,Drawback causes user to be drowsy (-30 to all actions) for 1 hour after imbibing. Each week of storage after the first) provide a -10 penalty to Herb Lore roll when using.,Often used by the Angmarim. Stops bleeding from all wounds bleeding less than or equal to 3 hits per round. Causes bad scaring. Once the leaves have been brewed the brew will keep for 1 week.,4
Ruth-i-Iaur,Poison,---,---,---,extreme,Drakes,Liquid,35sp,0,Also come in paste form to coat edged weapons but usually priced at 20\\% higher cost.,Reduction poison. Cave drake saliva. Victim suffers a -10 penalty per 5 RR failure. RR failure by 51+ equals unconsciousness. The effect lasts for 2-20 minutes.,4
Ruthin,Poison,---,---,---,extreme,Crystal,Liquid,48sp,0,,Conversion poison. On a failure of 51+ stomach contents turn to jagged glass killing victim in 1-10 inactive and extremely painful rounds. ,6
Sailchas,Combat Enhancement,---,---,---,folly,Flower,Wear,0tp,0,,Eriadorian flower. If worn it provide +10 to morale & all RR's and +5 to DB for 1D5+2 days if it has been given by someone who loves the wearer. If sold it has no effect it has to be given with love for effect thus it has no price.,13
Sarnumen,Poison,---,---,---,extreme,Eel,Liquid,65sp,0,Also come in paste form to coat edged weapons but usually priced at 20\\% higher cost.,Muscle poison. Victim who fails RR suffers a -50 penalty for 1-10 minutes.,10
Seregmor,Poison,---,---,---,very hard,Flower,Paste,61sp,0,,Conversion poison. Converts blood to Kalirion. Blood sucking insects will be drawn towards victim. All stats drop by 50 pts but will rise at rate of 1 pt/day (unless victim is dead).,1
Sha,Physical Alteration/Enhancement,---,---,---,very hard,Flower,Brew,8sp,10,Drawback causes user to suffer a (-20 penalty)  diahorrea starting 11-20 hours after consumption lasting for 1-5 days. Many of the Hillmen of the Trollshaws are immune to this side effect.,Provide a 300' nightvision for 1-5 hours.,8
Sharduvaak,Poison,---,---,---,hard,Berry,Liquid,18sp,0,,Circulatory poison. Brown liquid that slows blood flow. Victim is at -10 per 10 failure and needs double the normal sleep to function at all.,3
Sharkasar,Poison,---,mild temperate,coniferous forest,very hard,Root,Paste,2gp,0,,Brown paste; Circulatory poison. Causes 3-30 hit points. ,10
Shen,Antidotes,---,---,---,very hard,Leaf,Ingest,20sp,0,,Antidote for nerve poison. Will reverse any effects from nerve poisons in 20 rounds.,10
Shirilos,Poison,---,---,---,folly,Seeds,Brew,90sp,0,,Truth serum/nerve poison. Victim who fails RR by 21+ is at -100 and suggestable for 1-100 rounds. Victim will spill anything asked about and is nearly physically incapacitated for the duration.,10
Shutinis,Poison,---,---,---,folly,Hultif Bug,Paste,27sp,0,,Disease. Victim who fails RR by 01-25 gets sick and is at -75 for 2-20 hours. RR failure by 26+ causes gradual mental insanity over 1-10 days in addition to the sickness.,3
Silmaana,Poison,---,mild temperate,tall grass,easy,Stalk,Powder,4gp,0,Also come in paste form to coat edged weapons but usually priced at 20\\% higher cost.,Silver powder scars skin; gives 5-50 hits.,9
Silraen,General Purpose,---,---,---,easy,Plant,Brew,5bp,5,Drawback does not interfere with the herbs positive qualities but adds a terrible headache (-15) for 1-10 hours after awakening.,Analgesic. Smells so strong that it cannot be hidden in food or drink. When consumed target must resist vs 4th lvl (poison) or fall asleep. The sleep is deep and unwakable. Usually used during surgical operations due to it's lack of harmless side-effects. ,3
Sindoluin,Circulatory Relief,---,---,---,easy,Flower,Apply,5bp,0,,Coagulant. Will stop bleeding from one wound that bleeds up to 3 hits per round. The patient may walk and move without the bleeding reopening so long as the Sindoluin plant remains attached to the wound.,8
Siran,Muscle/Cartilage/Tendon Repair,---,---,---,very hard,Clove,Ingest,95sp,0,The drawback on Siran is a rare skin disease that develops over 24 hours. Targets AP is lowered by 33\\% and the effects is even worse (50\\%) if skin is exposed to full sunshine. The disease will disappear in 1 week.,Restoration of 1 damaged organ. ,10
Siriena,Life Preservation,---,---,---,hard,Grass,Brew,23sp,0,,Preservation of organic material up to body size for 1 week.,10
Slird,Poison,---,---,---,folly,Fruit,Paste,31sp,0,,"Nerve poison. Acts in 1-2 rounds. Victim has 50\\% chance (minus SD-bonus) of ""blacking out"" each round. Poison is active for 6-10 rounds. During a black out victim is prone.",2
Slota,Poison,---,---,---,extreme,Spider,Paste,33sp,0,,Reduction poison. Take 2-20 rounds to take effect and causes partial upper body paralysis for 6-10 minutes. Victim is at -50 for the duration. On a moderate RR failure (26+) the paralysis continues and slowly increases during a 24 hour period. RR failures of 51+ eventually results in death due to lung failure.,5
Sorel nut,Antidotes,---,---,---,easy,Nut,Ingest,5cp,0,,Antidote for Nur-Oiolosse,4
Spider Venom,Poison,---,---,---,very hard,Venom,Paste,7sp,0,,Nerve poison. Causes partial upper body paralysis for 6-10 rounds (take 2-20 rounds to take effect). Victim is at -50 for the duration.,1
Splayfoot,Combat Enhancement,---,---,---,medium,Seeds,Brew,10sp,0,,"Aka Goodwort. For those ""good of heart"" instills confindence and strength. Provide +25 to all skills (not OB or DB) used for a single purpose. Bonus lasts for 1-4 hours.",12
Sulimquelote,General Purpose,---,---,---,medium,Flower,Brew,2sp,0,,"Fragrant scent for 1-4 hours. ""For the Ladies"". Rub some on the skin. One bottle lasts for 4 weeks for a day-to-day user.",1
Suranie,Stun Relief,---,cool temperate,freshwater coast and banks,light,Berry,Ingest,2gp,3,,Stun relief (1 round).,1
Surlok,Poison,---,---,---,medium,Fish Spines,Inject,23sp,0,,Rare disease. Victims fingers and toe's start to rot causing -1 to all actions per day that passes from the poisoning. Penalty will go no higher than -75 at which point all toe's and fingers have fully rotted away. Hands and feet are then totally useless of course.,5
Sweet Galenas,Physical Alteration/Enhancement,---,---,---,easy,Leaf,Smoke,1sp,10,Drawback indicate an addiction to the herb. See addiction rules in Gamemaster Law p. 90.,Euphoric relaxant. All within 10' radius are relaxed and anyone directly inhaling the smoke will be stoned (-75 to all maneuvers for 1-10 rounds).,3
Sweet Sorrel,Antidotes,---,---,---,hard,Leaves,Inhale,12sp,0,,Incense that acts as antidote for poisonous gases. Will instantly stop the effect of any poison in gasform but damage already done must be healed by other means.,8
Swigmakril,Combat Enhancement,---,---,---,very hard,Flower,Brew,5sp,10,If drawback occurs penalty is either -20 (1-50) or -30 (51-100) instead. Also herb is slightly addictive 10\\% chance.,Relaxant. User can take 200\\% concussion hits before passing out (i.e he die) but acts at -10 for the duration.,10
Tarfeg,Pain Reduction,---,---,---,extreme,Flower,Ingest,17sp,3,,Reduces pain. Lower penalties by 10. Tarfeg also repairs a sprain if victim rests for 8 hours. Using more than 3 doses in an 8 hour period simply does nothing good.,10
Tarnas,Muscle/Cartilage/Tendon Repair,---,---,---,very hard,Nodule,Brew,165sp,0,If drawback occurs user will be totally incapacitated for the duration (i.e 8 hrs) due to nausea and vomitting.,Repairs all damaged organs in one body.,10
Tartiella,Physical Alteration/Enhancement,---,---,---,light,Leaf,Smoke,8bp,10,Drawback indicate an addiction to the herb. See addiction rules in Gamemaster Law p. 90.,Euphoric. All stats drop by 10 for 1-10 hours. For more detailed description see Hands of the Healer p. 139.,4
Tatharsul,Muscle/Cartilage/Tendon Repair,---,---,---,light,Bread,Ingest,150sp,0,,Repairs nervous system to normal in 1-10 rounds.,14
Taynaga,Antidotes,---,cold,coniferous forest,hard,Bark,Powder,27gp,0,,Multipurpose herb. Brownish powder sterilizes and gives 5-50 hit points within 6-12 minutes. Can also be used to neutralize Jegga poison that not yet have had effect on target. For additional description see Hands of the Healer p. 139.,11
Teldalion,Pain Reduction,---,---,---,light,Bark,Apply,5cp,0,,Cures infections and reduces inflammations. If used continously during healing period it reduce the risk of permanent injuries.,1
Telek,Burn/Exposure Relief,---,---,---,very hard,Berry,Apply,48sp,0,,Cures frostbite in 10 rounds. Can be used on one wound inflicted by frostbite. Halves penalties and bleeding by half and heal 3-30 hit points resulting from cold.,12
Telperion,Concussion Relief,---,---,---,extreme,Leaf,Ingest,7sp,0,,Heals 10-100 hit points. ,12
Terbas,Nerve Repair,---,mild temperate,decidous/mixed forest,light,Leaf,Apply,2gp,4,,Heals nerve damage. Require 1 day per -10 penalty for recovery. A nerve damage causing victim a -30 penalty will heal in 3 days with the help of Terbas.,2
Tharm,General Purpose,---,---,---,routine,Kelp,Apply,15bp,0,,Sun lotion. Protects versus the extreme sun in the deserts of southern Middle Earth. The price noted is for a 8 oz bottle (225 gr) which lasts for about 1 week during normal use.,1
Thembitul,Physical Alteration/Enhancement,---,---,---,folly,Flower,Ingest,36sp,0,,Provide +50 RR vs disease and poisons.,12
Thrang,Poison,---,---,---,medium,Panther glands,Paste,15bp,0,,Nerve poison. RR failure results in loss of colour vision.,5
Thrayniis,Poison,---,---,---,medium,Liquid,Ingest,16sp,0,,Nerve poison. Fleas blood. Causes total paralysis after 3-30 minutes. Victim will be paralysed for 10 minutes per 10 RR failure.,6
Thurl,Concussion Relief,---,---,---,routine,Clove,Brew,3tp,0,,Heals 1-4 hit points. Brew keeps 1-2 weeks.,1
Thurviik,Poison,---,---,---,folly,Gas,Gas,60sp,0,,Nerve poison. Alchemic mixture powerful sleeping agent. Victim that fails RR by 101+ will go into coma. Others into unwakeable sleep for 3 hours. The price is for enough gas to cover a 10x10x10' room with full effect.,20
Trudurs,Physical Alteration/Enhancement,---,---,---,medium,Moss,Brew,2sp,0,,Provide +10 to RR versus disease for 6-10 days.,5
Trusa,Poison,---,---,---,folly,Frog,Paste,36sp,0,,Muscle poison. RR failure by 01-15 causes blindness in one eye RR failure by 16-30 causes blindness in both eyes RR failure by 31-50 causes coma and RR failure by 51+ causes coma and eventually death in 6-10 hours.,4
Tukamur,General Purpose,---,---,---,medium,Grass,Brew,9sp,100,,Euphoric. Allows shared dreams with friend(s) similarly affected within 50 miles/level. The range is counted on the highest level friend. This herb causes addiction in all cases (see rules for withdrawal) which lower its popularity.,8
Tulaxar,Circulatory Relief,---,---,---,very hard,Leaves,Brew,35sp,0,If drawback occurs user must RR vs a 12th level poison. Failure by 1-25 causes drowsiness (-30) for 1 hour failure by 26+ causes heart attack unconsciousness and possibly death (25\\%).,Stops all bleeding in one body. Take 3-6 rounds to take effect. Wounds will not reopen. ,12
Tyr-fira,Life Preservation,---,---,---,absurd,Leaf,Apply,1100sp,0,,Lifegiving if given within 56 days.,30
Ucason,Muscle/Cartilage/Tendon Repair,---,---,---,extreme,Grass,Smoke,36sp,0,,Cures blindness from nerve damage spells or any reason as long as the eye is not physically destroyed.,11
Ukur,Nutrition/Refreshment,---,---,---,medium,Nut,Ingest,6bp,0,Drawback indicate user has a -10 due to hunger unless something else is ingested.,One nut equals one days nutrition.,6
Ul-acaana,Poison,---,---,---,absurd,Flower,Paste,450sp,0,,Nerve poison. Total paralyses instantly as nervous system is destroyed. Victims failing RR by 01-25 is permanently paralysed. RR failure by 26-50 sends victim into coma and RR failure by 51+ first paralyses then kills victim within 1-10 minutes.,20
Ul-Naza,Antidotes,---,---,---,folly,Leaf,Ingest,105sp,0,,Legendary antidote said to grow only in the wasteland were a Vala has walked. Will reverse the effects of any poison (even death) if taken within 1 day.,20
Ul-Ucason,Muscle/Cartilage/Tendon Repair,---,---,---,folly,Grass,Smoke,150sp,0,,A magically enhanced variant of the Ucason herb. Restores eye-sight to any victim even if eyes are destroyed. ,11
Ulginor,Nutrition/Refreshment,---,---,---,routine,Bread,Ingest,15bp,0,,1 days nutrition per slice. Keeps 1-2 months. Tastes of cheese & spinach. A 10 slice loaf costs 15 sp.,1
Uraana,Poison,---,cool temperate,short grass,light,Leaf,Paste,12gp,6,,Creamy paste gives 3-30 hits,6
Valanar,Antidotes,---,---,---,absurd,Leaf,Ingest,40sp,0,,Antidote for Karfar. Will reverse the effects even death if given within 24 hours of poisoning.,20
Vaxvarna,Poison,---,---,---,folly,Snake,Apply,35sp,0,,Circulatory poison. The area touched will quickly get a blueish tint. Initially the poison stuns victim for 1 round/10 failure. Thereafter (within 2-20 rounds) it causes weakness nausea and loss of    5-50 hit points. In 5-50 rounds the touched part will become useless.,5
Veldurak,Burn/Exposure Relief,---,---,---,hard,Kelp,Apply,32sp,0,,Cures frostbite. Heals 1-50 hits and lowers a penalty by 15 from a wound resulting from cold.,10
Vemaak,Poison,---,---,---,medium,Hornets,Paste,5sp,0,,Reduction poison. Destroy foe's hearing. Foe is stunned for 1 round per 5 failure. -50 to perception rolls based partly on hearing.,1
Vessin,Burn/Exposure Relief,---,---,---,hard,Clams,Apply,30sp,0,,"Cures 2nd degree burns (a burn from either an ""A"" ""B"" or ""C"" severity critical) in 20 rnds or 3rd degree burns (""D"" or ""E"" severity critical) in 8 hours. Vessin will completely remove all hits and penalties resulting from burn.",10
Vinuk,Stun Relief,---,---,---,medium,Root,Brew,7sp,0,,Stun Relief. Removes 1-10 rounds of stun or stun no parry from one critical. Duration is 1 hour or until first critical that causes stun.,6
Viper's Bane,Antidotes,---,---,---,absurd,Fungus,Ingest,80sp,0,,Universal antidote. Relieve the target of any poisonous effects (less than death) in as many rounds as the poison's level. Must be taken within 24 hours of poisoning.,12
Vipersweed,Antidotes,---,---,---,medium,Root,Brew,15sp,0,,Antidote for Asgurath and most other snake venoms. Will reverse the effects instantly.,9
Vulcurax,Life Preservation,---,---,---,absurd,Berry,Apply,1000sp,0,,Lifegiving if given within 30 days. This mythical berry grows only in the forests of Taur Galen in southern middle earth. They do not work on elves. All damages must be healed by other means before the berry is applied.,30
Vuraana,Poison,---,hot and humid,tall grass,medium,Flower,Paste,42gp,6,,Pinkish paste delivers 1-100 hits.,2
Water Hemlock,Poison,---,---,---,extreme,Plant,Liquid,24sp,0,,Conversion poison. RR failure by 01-25 incapacitate victim for 1-10 hours. RR failure by 26+ confers quick death due to blood poisoning.,3
Waters of Fire,Combat Enhancement,---,---,---,hard,Acid,Liquid,9sp,0,"If a ""C"" or higher critical is achieved victim will take an ""A"" severity Acid critical for 1-5 additional rounds.",Acid. Can be thrown at enemies. Attacks with a -20 penalty on the Fireball attack table (all criticals are Acid). Garments dissolve in 1-6 rounds.,1
Wek-baas,Poison,---,---,---,absurd,Fish,Liquid,55sp,0,,Nerve poison. Take 10 rounds plus victims CO-stat bonus to take effect. RR failure by 1-15 causes  unconscious for 1 hour/10 failure. An RR failure by 16-30 does the same but also adds -75 to victim for 6-10 days (after waking from unconsciousness). RR failure by 31+ equals death within 1-10 hours of unconsciousness.,5
Wek-wek,Muscle/Cartilage/Tendon Repair,---,---,---,folly,Nodule,Brew,175sp,0,,Magical herb that repairs all damaged organs in one body within 2-20 rounds. ,16
Welwal,Stun Relief,---,---,---,extreme,Leaf,Ingest,5sp,0,,Leaf put on the tongue acts as stun relief. Removes 3 rounds of stun or stun no parry from one critical. Duration is 1 hour or until first critical that causes stun.,11
Wifurwif,Muscle/Cartilage/Tendon Repair,---,---,---,extreme,Lichen,Ingest,210sp,0,,Nerve repairs. ,16
Winclamit,Concussion Relief,---,---,---,extreme,Fruit,Ingest,9sp,5,If drawback occurs user is sluggish and slow (acts at -10) for 11-20 minutes after taking the herb.,Heals 3-300 hit points instantly upon ingestion.,14
Witav,Stun Relief,---,---,---,very hard,Leaf,Ingest,4sp,0,,Stun relief. Allows ingester to ignore 2 rounds of stun or stun no parry from the first critical taken within 12 hours.,8
Witch-Hazel,Pain Reduction,---,---,---,light,Flower,Brew,6sp,0,,Anesthetic. Reduce pain from small cuts and relieves muscle aches. Heals 1 hit point per minute (up to a maximum of 15 hit points) and lowers pains by 10. ,5
Wolfstooth,Poison,---,---,---,extreme,Root,Paste,46sp,0,,Muscle poison. RR failure by 1-25 causes muscle spasms (-50 for 11-20 rounds). RR failure by 26-50 lowers CO-stat by 11-20 points in addition to the above result. RR failure by 51+ causes death in    11-20 rounds due to heart failure.,7
Worlclivur,Poison,---,---,---,folly,Lichen,Paste,18sp,0,,Muscle poison. RR failure by 01-25 results in tormenting pain -50 for 1 minute per 10 failure. RR failure by 26-50 equals -50 for 1 hour per 10 failure RR failure by 51-75 results in -75 for 1 hour per 10 failure RR failure by 76-100 results in immobilization (-100) for 1 day per 10 failure and RR failure by 101+ equals death by heart attack.,2
Wt Berried Yew,Poison,---,---,---,medium,Berry,Ingest,25sp,0,,Muscle poison. RR failure by 51+ equals death in   1-10 rounds. Othervise consult the Poison Descriptions table in Gamemaster Law p. 94.,5
Yake Ferns,Poison,---,---,---,medium,Sap,Ingest,50sp,0,,Conversion poison. Tongue rots off in 1-100 rounds.,10
Yaran,Physical Alteration/Enhancement,---,---,---,easy,Pollen,Ingest,17bp,0,,Increased sensitivity to smell and taste allows user to detect poisons (and other things) on blades or in food. +50 to all perception based on smell/taste for 1 hour including Poison perception.,2
Yavethalion,Concussion Relief,---,mild temperate,ocean/saltwater shore,hard,Fruit,Ingest,45gp,4,,Heals 5-50.,6
Ylvort,Pain Reduction,---,---,---,folly,Flower,Brew,12sp,5,If drawback occurs user become sluggish and unbalanced fighting at -10 until the herb wears off. The positive effects still apply.,Taken before user enters combat the Ylvort lowers all penalties taken by 10 for the duration. All penalties return when duration ends. ,10
Yuth,Antidotes,---,---,---,folly,Flower,Ingest,5sp,0,,Antidote for nerve venoms. Will only stop the poison from doing further damage not reverse the effects already taken.,14
Zaganzar,Poison,---,cool temperate,mountains,very hard,Root,Liquid,139gp,0,,Reduction poison. Instantly causes 1-10 hit points and on a severe failure (51+) turns optic nerves to water and blinds victim in 2-20 rounds.,5
Zulsendura,Combat Enhancement,---,---,---,medium,Mushroom,Ingest,10sp,10,If drawback occurs user will lapse into deep sleep at the end of the 3 round effect. The sleep will last for 10 minutes per dose taken and it is impossible to rouse the user for the first 3-30 rounds.,A rare mushroom that grows in vulcanic caves. It provides extreme quickness (equals Haste) for 3 rounds ,11
Zur,Physical Alteration/Enhancement,---,---,---,medium,Fungus,Brew,27sp,0,,Enhances smell and hearing for 1 hour. The hearing range is increased by x3 and that will provide +50 to perception based on hearing.,6
