roll,routine,easy,light,medium,hard,"very hard",extrem,folly,absurd
" < -151",F,F,F,F,F,F,F,F,F
"-150 < -101",10,F,F,F,F,F,F,F,F
"-100 < -51",30,10,F,F,F,F,F,F,F
"-50 < -26",50,30,10,F,F,F,F,F,F
"-25 < 0",70,50,30,5,F,F,F,F,F
"1 < 20",80,60,50,10,5,F,F,F,F
"21 < 40",90,70,60,20,10,5,F,F,F
"41 < 55",100,80,70,30,20,10,5,F,F
"56 < 65",100,90,8040,30,20,10,F,F
"66 < 75",100,100,90,50,40,30,20,5,F
"76 < 85",100,100,100,60,50,40,30,10,F
"86 < 95",100,100,100,70,69,50,40,20,5
"96 < 105",110,100,100,80,70,60,50,25,10
"106 < 115",110,110,100,90,80,70,60,30,20
"116 < 125",120,110,110,100,90,80,70,40,30
"126 < 135",120,120,110,100,100,90,80,50,40
"136 < 145",130,120,120,110,100,100,90,60,50
"146 < 155",130,130,120,110,110,100,100,70,60
"156 < 165",140,130,130,120,110,110,100,80,70
"166 < 185",140,140,130,120,120,110,110,90,80
"186 < 225",150,140,140,130,120,120,110,100,90
"226 < 275",150,150,140,130,130,120,120,100,100
"276 < ",160,150,150,140,130,130,120,110,100